organization,count,usgs,id
"Department of Microbiology and Ecology/ICBiBE, University of Valencia, Spain",1,False,27343
"Universita' degli Studi di Palermo, Sicily, Italy",1,False,27344
"Royal Belgian Institure of Natural Sciences, Brussels, Belgium",1,False,27345
University of Palermo,2,False,25431
"Institute of Plant Sciences & Oeschger Centre for Climate Change Research, University of Bern, Bern, Switzerland",1,False,27346
University of Bern,2,False,25430
Watermark Numerical Computing,1,False,7046
"Department of Hydrology, University of Bayreuth, Universitätsstrasse 30, 95447 Bayreuth, Germany",1,False,27418
Hawaiian Volcano Observatory,6,True,336
INGV,1,False,5113
"Hess Corporation, Houston, Texas, USA",1,False,16290
"MARETEC, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais 1, 1049-001 Lisboa,",1,False,27383
"Department of Natural Resources, Cornell University, Ithaca, NY, 14853, USA",1,False,16883
"(1) German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig, Deutscher Platz 5e, 04103 Leipzig, Germany; (2) Institute of Biology, Martin Luther University Halle Wittenberg, Am Kirchtor 1, 06108 Halle (Saale), Germany",1,False,16888
"German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig, Deutscher Platz 5e, Leipzig, Germany",1,False,27384
"Department of Life Sciences, The Natural History Museum, Cromwell Road, South Kensington, London SW7 5BD, UK",1,False,16878
"ESiLi consulting. Het Haam 16, 6846 KW Arnhem, The Netherlands",1,False,27385
"CIBIO / InBIO - Rede de Investigação em Biodiversidade e Biologia Evolutiva & Faculdade de Ciencias, Universidade do Porto, Vairao, Portugal",1,False,27386
"Biodiversity, Evolution and Ecology (BEE), Biocenter Klein Flottbek, University of Hamburg, Hamburg, Germany",1,False,27387
"NatureUganda, The East Africa Natural History Society, P. O. Box 27034, Katalima Crescent, Naguru,Kampala, Uganda",1,False,27388
"(1)Dept of Conservation Biology, Helmholtz Centre for Environmental Research – UFZ, Permoserstrasse 15, 04318 Leipzig, Germany;",1,False,16875
"Centre for Ecology, Evolution and Environmental Changes (CE3C), Faculdade de Ciências, Universidade de Lisboa, Lisbon, Portugal",1,False,27390
"Dutch Butterfly Conservation, P.O. Box 506, 6700 AMWageningen, Netherlands",1,False,27391
U. S. Fish and Wildlife Service,5,False,12428
Univ. of California at San Diego,1,False,12805
BOR,1,False,12646
University of Waterloo,5,False,6655
Alaska SeaLife Center,1,False,16211
Georgia Institute of Technology,1,False,27526
PSU,2,False,24698
"U.S. Environmental Protection Agency, Office of Water",2,False,27513
"Huazhong Agricultural University, College of Fisheries",1,False,12457
"Ontario Ministry of Natural Resources, Aquatic Research and Development Section",1,False,13171
"College of Fisheries, Huazhong Agricultural University",1,False,6955
"University of California, Los Angeles",5,False,12763
"Center for Microbial Genetics and Genomics, Northern Arizona University, PO Box 4073, Flagstaff, AZ, 86011, USA",1,False,27479
"1Center for Microbial Genetics and Genomics, Northern Arizona University, PO Box 4073, Flagstaff, AZ, 86011, USA",1,False,27480
"Translational Genomics Research Institute North, 3051 W. Shamrell Blvd #106, Flagstaff, Arizona 86001, USA",1,False,27481
"University of Central Missouri, 108 W South St., Warrensburg, MO",1,False,27465
"Missouri Department of Conservation, Jefferson City, MO",1,False,27466
"U.S. National Park Service, Natural Resource Stewardship and Science, Fort Collins, CO, 80525, USA",2,False,16909
"Aarhus University, Denmark",2,False,13419
"Department of Bioscience, Aarhus University",2,False,6963
Oikonos Ecosystem Knowledge,2,False,25597
Instituto de Fomento Pesquero,1,False,25600
"Pacific Northwest Research Station, USDA Forest Service",4,False,18944
University South Florida,1,False,13653
University of Zurich,1,False,27368
"State University of New York, College of Environmental Science and Forestry, Syracuse, NY",1,False,27381
"Division of Mammals, National Museum of Natural History",1,False,27353
"Aalto University, Finland",1,False,6718
University of New South Wales,1,False,27304
Australia National University,1,False,27305
"Department of Ecology and Evolutionary Biology, University of Colorado, Boulder, Colorado",2,False,17921
"National Park Service, Upper Columbia Basin Network",11,False,6924
"Department of Biology, University of Montana Western, Dillon, MT, USA",1,False,27357
"Dept. of Animal and Range Sciences, Montana State University, Bozeman, MT, USA",1,False,27358
"The Nature Conservancy, Helena, MT, USA",1,False,27359
"Cheyenne Mountain Zoo, Colorado Springs, CO, USA",1,False,27360
USGS ; has since left USGS,1,False,27329
"Ocean Associates, Seattle, WA",1,False,27351
"School of Aquatic and Fishery Sciences, UW, Seattle, WA",1,False,27350
"Natural Resources Dept., Lower Elwha Klallam Tribe, Port Angeles, WA",1,False,27352
"School of Oceanography, University of Washington, Seattle, WA 98195, USA",1,False,27348
Railway Technical Research Institute,1,False,27332
KAUST,2,False,24561
GFZ,1,False,27333
"Kyoto University, Kyoto, Japan",2,False,27299
Universite Grenoble Alpes,1,False,27334
"Universidade de Lisboa, Lisboa, Portugal",2,False,25487
Scripps Inst Oceanography,2,False,6728
Università di Napoli Federico II,1,False,27335
Charles University in Prague,1,False,27336
Ludwig-Maximilian University,1,False,27337
National Academy of Sciences of Ukraine,1,False,27338
University of Tsukuba,1,False,27339
KIGAM,1,False,27340
Indian Institute of Technology (IIT) Hyderabad,1,False,27341
ETH Zurich,1,False,12483
"American Bird Conservancy, cfarmer@abcbirds.org",2,False,17929
"Department of Geosciences, University of Arizona, Tucson, AZ 85721 USA",1,False,27505
"Department of Earth, Environmental and Planetary Sciences, Brown University, Providence RI 02912 USA",1,False,27506
Michigan Department of Natural Resources and Michigan State University,1,False,27328
"Department of Fish and Wildlife Sciences, University of Idaho,",4,False,13384
Honeywell Technology Solutions Incoporation,1,False,16157
Argonne National Laboratory and Colorado State University,1,False,27320
Rose-Hulman Institute of Technology,1,False,27321
Schlumberger-Doll Research,1,False,27322
Schlumberger Dhahran Carbonate Research Center,1,False,27323
USDA-APHIS NWRC,1,False,27327
The Ohio State University,4,False,18155
"NPS, Northern Great Plains Inventory & Monitoring Network",1,False,27324
"European Space Agency, Belgium",2,False,27013
Denali Natil Park and Preserve,1,False,27306
"Memorial University of Newfoundland, St. John’s, NL A1B 3X9, Canada",2,False,27309
"Canadian Wildlife Health Cooperative, Atlantic Region, Atlantic Veterinary College",1,False,27310
"Wildlife Research Division, Science and Technology Branch, Environment and Climate",2,False,27311
"Canadian Wildlife Service, Environment and Climate Change Canada, 6 Bruce Street, Mount",1,False,27312
"Private Veterinary Practice, St. John's, NL A1K1G8, Canada",1,False,27313
"Animal Health Division. Forestry and Agrifoods Agency. P.O. Box 7400. St. John’s, NL A1E",1,False,27314
University of Maryland Baltimore County,2,False,15309
Western Purple Martin Foundation,1,False,27290
"Texas State University, San Marcos",3,False,18087
"York University, Toronto, ON",1,False,27291
"John A. Burns School of Medicine, University of Hawaii",1,False,27286
"Department of Meteorology, University of Hawaii",1,False,27289
"Harvard School of Public Health, Harvard University",1,False,27288
"Keck School of Medicine, University of Southern California",1,False,27287
"Illinois Natural History Survey, Prairie Research Institute, University of Illinois Urbana-Champaign",2,False,24804
"Department of Biology, The University of the South, Sewanee, TN 37383",1,False,27083
"Department of Environmental Science, American University, 4400 Massachusetts Ave. NW, Washington, DC 20016",1,False,27084
"USGS, Upper Midwest Environmental Sciences Center",3,False,12814
"Observatorio Volcanológico y Sismológico de Costa Rica, Universidad Nacional, Heredia, Costa Rica",1,False,27271
"Dipartimento DiSTeM, Università di Palermo, Palermo, Italy",1,False,27272
"Istituto Nazionale di Geofisica e Vulcanologia, Sezione di Palermo, Italy",1,False,27273
Natural Resources Canada,1,False,7219
"Mountain-eering Srl, Bolzano, Italy",1,False,27269
Unversita di Trento,2,False,18929
"Natural Resources Ecology Laboratory, Colorado State University",1,False,6935
Great Lakes Commission,2,False,13509
Kunming University of Science and Technology,3,False,18164
Virginia Tech,5,False,12694
Recep Tayyip Erdogan University,1,False,27250
Karadeniz Technical University,1,False,27251
Western Lake Superior Sanitary District,1,False,27253
"Energy and Geoscience Institute, University of Utah",1,False,7079
Whiting Petroleum Corporation,1,False,27367
"USGS, retired",1,False,12608
"USDA Forest Service, Pacific Northwest Regional Office",1,False,27245
"USDA Forest Service, Western Wildlands Environmental Threat Assessment Center",1,False,27246
NAU,1,False,7202
NAU and NPS,1,False,27207
"Qingdao Institute of Marine Geology, Shandong Province, China",1,False,16739
"Qingdao Institute of Marine Geology, China",1,False,27244
"Virginia Tech, Dept. of Geosciences",2,False,18089
Virginia Dept. of Conservation and Recreation,2,False,18088
"Department of Geosciences, Virginia Tech, Blacksburg, VA",3,False,12594
Central Michigan University,2,False,13588
"Div. of Migratory Bird Management, U.S. Fish and Wildlife Service, MD",2,False,26994
"School of Environmental and Forest Sciences, University of Washington",1,False,13194
New York State Department of Environmental Conservation,3,False,13678
"CSIRO Land and Water, Australia",3,False,12494
Chicago Zoological Society,1,False,12658
"Washington Gas / WGL Holdings, Inc., Springfield, VA 22151",1,False,27233
"Center for Forest Mycology Research, Northern Research Station, US Forest Service, Madison, Wisconsin, USAb",2,False,27066
PAWS Wildlife Center,1,False,27229
Washington Department of  Fish and Wildlife,1,False,27230
"Smithsonian Tropical Research Institute, P.O. Box 0843-03092, Balboa, Republic of Panama",1,False,27419
"Universidade Federal Fluminense, Instituto de Biologia, Campus do Valonguinho, Outeiro São João Batista, s/nº, cep. 24020-141, Niterói, Rio de Janeiro, Brazil",1,False,27420
"Department of Earth and Planetary Sciences Rutgers University 610 Taylor Road Piscataway NJ 08854-8066, USA",1,False,27421
"CONICET, División Paleontología Vertebrados, Museo de La Plata, B1900FWA, La Plata, Argentina",1,False,27422
"Department of Earth and Environment, and Department of Biological Sciences, Florida International University, Miami, Florida 33199, USA",1,False,27423
"Hamilton College, Department of Biology, 198 College Hill Road, Clinton NY 13323, USA",1,False,27424
"Laboratório de Paleozoologia, Departamento de Biologia Geral, Universidade Federal de Minas Gerais, Av. Antonio Carlos, 6627, cep. 31270 010, Belo Horizonte, MG, Brazil",1,False,27425
"Department of Biology, University of Nevada, Reno 89557-0314, USA",1,False,27426
"Academia Colombiana de Ciencias Exactas, Físicas y Naturales, Colombia",1,False,27427
"Department of Marine Biology, Texas A&M University at Galveston, Galveston, TX 77553, USA",1,False,27428
"División Paleontología Vertebrados, Unidades de Investigación, Anexo Museo de La Plata, 122 y 60, CP 1900 La Plata, Buenos Aires Province, Argentina",1,False,27429
"Department of Geology and Geophysics, Texas A&M University, College Station, TX 77843, USA",1,False,27430
"Department of Earth Sciences, Natural History Museum, London SW7 5BD, UK",1,False,27431
"Department of Invertebrate Zoology, National Museum of Natural History, Smithsonian Institution, Washington, DC 20013, USA",1,False,27432
"Department of Geology, Washington and Lee University, 204 W Washington Street, Lexington, VA, 24450",1,False,27433
"Department of Biology, University of Hawai'i at M'noa, 2538 McCarthy Mall, Honolulu, HI, 96822, USA",1,False,27434
"Smithsonian Tropical Research Institute, P.O. Box 0843-03092, Balboa, Republic of Panama; Department of Geology and Geophysics, Texas A&M University, College Station, TX 77843, USA",1,False,27435
"University of Florida, Department of Geological Sciences, Gainesville, Florida 32611, USA",1,False,27436
"División Paleontología Vertebrados, Unidades de Investigación, Anexo Museo de La Plata, 122 y 60, CP 1900 La Plata, Buenos Aires Province, Argentina;",1,False,27437
"Department of Earth and Planetary Sciences, University of California, Davis, One Shields Avenue, Davis, California, 95616, USA",1,False,27438
"Griffith Consulting Services at U.S. Geological Survey, National Wetlands Research Center",2,False,17706
"Department of Forest and Natural Resources Management, SUNY College of Environmental Science and Forestry, Syracuse, NY 13210 USA",1,False,27417
"Alaska Department of Fish and Game, Juneau, Alaska",1,False,27204
U. Arizona,2,False,27205
Cherokee Nations Technology,1,False,27063
"Nelson Institute Center for Climatic Research, University of Wisconsin-Madison",2,False,17750
"Hokkaido University, Sapporo, Japan",2,False,17805
"River Link Corporation, Tokyo, Japan",2,False,27296
"Gamou Intelligent Technology, Tokyo, Japan",1,False,27297
"Muroran Institute of Technology, Hokkaido, Japan",1,False,27298
"Center for Climate Research, University of Wisconsin-Madison",1,False,13681
"Warnell School of Forestry and Natural Resources, University of Georgia",3,False,13267
Honeywell Technical Services Inc.,1,False,27268
"Idaho State University, Pocatello, ID",2,False,26917
Idaho National Laboratory,1,False,27243
"Yangtze River Fisheries Research Institute, Chinese Academy of Fishery Sciences",1,False,27222
"U. S. Army Engineer Research and Development Center, Vicksburg, MS",1,False,27223
"Big Rivers and Wetlands Field Station, Missouri Department of Conservation, Jackson, MO",2,False,27224
ASU SESE,1,False,27362
"Purdue University, Dept. Earth, Atmospheric, and Planetary Sciences",1,False,27363
Johns Hopkins Univ Applied Physics Laboratory,1,False,27364
NASA Jet Propulsion Laboratory,1,False,27365
"Laboratoire de Planétologie et Géodynamique de Nantes, Université de Nantes",2,False,27024
Freeport McMoRan Copper & Gold Inc.,1,False,13705
Institut de Planetologie et d'Astrophysique de Grenoble,1,False,27193
Planetary Science Institute,5,False,13179
University of Leicester,1,False,27194
Johns Hopkins University Applied Physics Laboratory,4,False,7166
Universite de Lyon,1,False,27195
"JPL, SUNY Geneseo",1,False,24701
Universite Paris Sud - CNRS,1,False,27197
"Niels Bohr Institute, University of Copenhagen",1,False,27198
"University of New Mexico, Albuquerque",3,False,13339
Commissariat a l'Energie Atomique et Energies Alternatives,1,False,27199
University of California-Irvine,1,False,13312
University of Connecticutt,1,False,6619
"Dept. DICAM, Sch of CE, U of Bol, Italy",1,False,12516
"Department of Natural Resources and Environmental Sciences, University of Illinois",2,False,25569
Tennessee State University,1,False,13370
"Environmental Science & Technology Dept, University of MD",2,False,17728
"Institute of Botany of the CAS, Czech Republic and Biology Centre of CAS",1,False,27107
"U.C. Davis, now CSIRO in Australia",1,False,27522
"UCD, UI",1,False,27523
"US Fish and Wildlife Service, Lundington Biological Station",2,False,18161
Planetary Science Inst.,1,False,27220
Italian Space Agency,1,False,16145
Stanford University; Biomedical Research Institute; Children's National Health System; The George Washington University,1,False,16665
Colorado School of Mines/ARCADIS Inc.,1,False,27156
"University of Minnesota, MN, School of Mathematics",1,False,27179
"Department of Biology, Universitat Konstanz, Konstanz, Germany",2,False,17983
Murdoch University,1,False,6757
Imageair Inc.,2,False,24596
Unkown,1,False,27062
"Hydroacoustic Technology, Inc., Seattle, WA",1,False,27168
"California Department of Water Resources, Bay-Delta Office, Sacramento, CA",1,False,27169
"Institute of Earth Sciences, Hebrew University, Jerusalem Israel",1,False,27131
"University of Florida, FLEC",3,False,12559
University of Toledo,3,False,12455
University of Toronto,3,False,7044
"Department of Civil Engineering, National Chiao Tung University, Taiwan",1,False,27120
"Chinese Antarctic Center of Surveying and Mapping, Wuhan University, China",1,False,27121
"Division of Geodetic Science, School of Earth Science, the Ohio State University",1,False,27122
"Green Environmental Engineering Consultant Co. LTD, Hsinchu, Taiwan",1,False,27123
"Jiangsu Key Laboratory of Agricultural Meteorology, Nanjing University of Information Science and Technology, Nanjing 210044, China",1,False,27124
SDSU,2,False,5088
Univ Fla,2,False,16151
Mich St Univ,2,False,16153
Univ Toronto,2,False,16155
FMNH,2,False,16156
"University of Alaska Museum, University of Alaska Fairbanks, Fairbanks, Alaska, USA",2,False,13586
"Cramer Fish Sciences, 600 NW Fariss Road, Gresham, OR 97030",1,False,27185
"U.S. Bureau of Reclamation, 1910 Marsh Road, Yakima, WA  98901",1,False,27186
"D.C. Consulting LLC, 2807 W. Washington Ave., Yakima, WA 98903",1,False,27187
Mount Hood Environmental,2,False,27180
Fish Passage Center,1,False,27181
D.C. Consulting LLC,1,False,27182
"U.S. Bureau of Reclamation, Yakima Field Office",1,False,27183
"German Aerospace Center, Germany",1,False,27001
"Information Technology for Humanitarian Assistance, Cooperation and Action, Italy",1,False,27002
"Human Rights Watch, Switzerland",1,False,27003
"European Commission - Joint Research Centre, Italy",1,False,27004
Comision Nacional De Actividades Espaciales,2,False,13704
"Japan Aerospace Exploration Agency, Japan",1,False,27005
"Asian Institute of Technology, Thailand",1,False,27006
"UN Office for Outer Space Affairs, Austria",1,False,27007
National Disaster Reduction Center of China,1,False,27008
"Geneva International Centre for Humanitarian Demining, Switzerland",1,False,27009
"National Space Research and Development Agency, Nigeria",1,False,27010
"Centre National d'Études Spatiales, France",1,False,27011
"Regional Centre for Mapping of Resources for Development, Kenya",1,False,27012
"Université catholoque de Louvain, Belgium",1,False,27014
Denver Federal Center,4,True,218
"Centro de Investigación Científica y de Educación Superior de Ensenada (CICESE) Carretera Ensenada-Tijuana, # 3918, Zona Playitas, C.P. 22860, Ensenada, BC, México",1,False,27115
Michigan Tech University,1,False,27113
Michigan Technological university,5,False,16203
USDA Forest Service Northern Research Station,3,False,13259
"Brock University (Ontario, Canada)",1,False,18134
DGH,1,False,25387
ONGC,1,False,25388
"JAMSTEC, Japan",3,False,24659
University of Oregan,1,False,24813
West Chester University,1,False,16171
University of Chicago and University of South Florida,2,False,12621
"Northumbria University, Newcastle Upon Tyne, UK",3,False,18103
Yellowston Wolf Project,1,False,27103
"Idaho Power Company, P.O. Box 70, Boise ID  83707",1,False,12541
Reed-Harris Environmental Ltd.,1,False,27086
"Allred Restoration, Inc., Tremonton, UT",1,False,27172
University of Cambridge,1,False,27136
"Science and Technology Branch, Environment Canada",2,False,6962
"New Jersey Division of Fish & Wildlife, Office of Fish & Wildlife Health & Forensics, 605 Pequest Rd. Oxford, New Jersey 07863",1,False,27184
"USDA APHIS National Wildlife Research Center, Fort Collins, CO",2,False,12749
State of Washington,2,False,12748
"USFWS, Kodiak National Wildlife Refuge",1,False,27075
"University of Hawai’i at Manoa, Inst. of Geophysics & Planetology",1,False,7100
Johns Hopkins Applied Physics Laboratory,1,False,27117
Mount Holyoke College Department of Astronomy,1,False,27118
"Department of Obstetrics, Gynecology and Women’s Health, University of Missouri, Columbia, MO 65211",2,False,18070
"Department of Biological Sciences, University of Notre Dame",2,False,6966
SERNAGEOMIN,2,False,27236
University Austral de Chile,1,False,27237
"Bureau of Reclamation, Bay-Delta Office, 801 I St., Suite 140, Sacramento, CA",1,False,25508
"National Ecological Observatory Network (NEON), 1685 38th St., Boulder, CO 80301, USA",3,False,16880
Southern Nazarene University,1,False,16972
Neptune and Company Inc.,2,False,16973
Georgia Southern University,1,False,16976
University of Liverpool,1,False,16977
Valdosta State University,2,False,16978
University of Pennsylvania,1,False,16979
Yale University School of Public Health,1,False,16980
"Montana Tech of the Univ. of Montana, Butte, MT",1,False,13573
Walter Reed Army Institute of Research,1,False,16981
"Old Dominion University, VA",1,False,13417
University of Nebraska - Lincoln,3,False,12505
The Johns Hopkins Bloomberg School of Public Health,1,False,16982
National Center for Atmospheric Research,5,False,6648
University of New Mexico HSC,1,False,16983
Public Health Agency of Canada,2,False,16890
"Warnell School of Forestry and Natural Resources, The University of Georgia",2,False,13266
"Space Science Institute, Boulder, Colorado",2,False,7038
"Space Science Institute, Boulder, Colo.",2,False,24736
"School of Earth and Atmospheric Sciences, Georgia Institute of Technology",1,False,7032
"University of New Hampshire, Durham",2,False,18105
"University of Texas School of Public Health, 1200 Pressler Street, Houston, TX 77030, USA",3,False,26950
San Diego State University,2,False,6608
Williamson & Associates,1,False,27277
Bird Conservancy of the Rockies,2,False,25644
"Thule Scientific, P.O. Box 953, Topanga, CA 90290 USA",1,False,27112
New Mexico Tech,1,False,7026
"Conservation Biologist, Town of Hempstead Dept of Conservation & Waterways",1,False,27101
"Consultant, Ballston Spa NY",1,False,27091
"Instituto de Ecología, Universidad Nacional Autónoma de Mexico",2,False,17657
"Arizona Department of Transportation, Environmental Planning Group",1,False,25532
Desert Botanical Garden,1,False,25533
"Climate Program Office, NOAA",1,False,25467
University Corporation Monterey Bay / NASA Ames Research Center,1,False,25468
Missouri University of Science & Technology,1,False,26996
Geoscience Azur,1,False,13572
"University of Montana, Division of Biological Sciences, Missoula, MT, USA 59812",2,False,6583
"School of Marine and Environmental Affairs, University of Washington, Seattle, WA, USA",1,False,25524
Australian Rivers Institute,1,False,25525
FAO,1,False,25526
"University of Wisconsin–La Crosse, Biology Department",1,False,16932
"University of Wisconsin–La Crosse, Chemistry & Biochemistry Department",1,False,16933
"University of Alberta, Edmonton, Alberta, Canada",3,False,12799
"University of Ottawa, Canada",1,False,13374
Moss Landing Marine Laboratories,1,False,6751
University College London,1,False,6957
"Alberta Environmental Monitoring, Evaluation and Reporting Agency",1,False,25352
"Environment Canada, Burlington, Ontario, Canada",5,False,6779
"Queen's University, Kingston, Ontario, Canada",2,False,7029
Department of Fisheries and Oceans Canada,1,False,13015
Washington State Department of Ecology,1,False,25353
"Ohio State University, School of Earth Sciences, Columbus, Ohio, USA",1,False,6714
Universidad Nacional Autónoma de México,1,False,25354
Moss Landing Marine Sciences Laboratories,1,False,25355
Jacksonville State University,1,False,24739
"Department of Geography, University of California, Los Angeles",1,False,13022
"Department of Geography, Rutgers University, New Brunswick",1,False,25395
"Harbor Branch Oceanographic Institute, Florida Atlantic University",1,False,26984
"NOAA Fisheries – Beaufort Laboratory, Beaufort, NC",2,False,12555
"College of Marine Science, University of South Florida, St. Petersburg, FL",1,False,7149
"Department of Biology, Bucknell University, Lewisburg, Pennsylvania 17837, USA",1,False,25242
Bucknell University,1,False,16651
"Department of Plant Sciences, University of California, Davis, CA, 95616  USA. E-mail: sfick@ucdavis.edu",1,False,27054
Idaho Department of Water Resources,1,False,7225
University of North Carolina at Chapel Hill,1,False,27051
National Institute of Standards and Technology,2,False,25356
"University of Texas, Austin",3,False,13603
"Geophysical Institute, University of Alaska - Fairbanks",1,False,27045
"Dept of Earth and Space Science, York University, Toronto",1,False,27047
"Center for Remote Sensing of Ice Sheets, University of Kansas",1,False,13661
"U.S. Fish and Wildlife Service, Ludington Biological Station",2,False,6597
MARE – Centro de Ciências do Mar e do Ambiente,1,False,27044
American Museum of Natural History,1,False,6989
"Department of Biology, East Carolina University, Greenville, NC",1,False,27414
Horry County Stormwater,1,False,24630
"Mitrani Dep't of Desert Ecology, Ben-Gurion University of the Negev, Israel",2,False,18026
University of Leeds,3,False,13344
University of Oxford,2,False,25447
UC Riverside,3,False,6984
Norut Informasjonteknologi,1,False,27035
"PPO.labs, Den Haag, Netherlands",1,False,27036
"State Key Laboratory of Agricultural Microbiology, College of Life Science and Technology, Huazhong Agricultural University, Wuhan 430070, China",1,False,27411
"1 State Key Laboratory of Agricultural Microbiology, College of Life Science and Technology, Huazhong Agricultural University, Wuhan 430070, China",1,False,27413
"Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, China",1,False,27412
"International Joint Commission, Washington DC",1,False,13361
"Guangzhou Institute of Geochemistry, Chinese Academy of Sciences, Guangzhou, China",1,False,16292
"1 Institute of Evolutionary Biology and Environmental Studies, University of Zurich, Winterthurerstrasse 190, CH-8057 Zurich, Switzerland",1,False,27025
"Biological and Environmental Sciences, University of Stirling, Stirling, FK9 4LA, UK",1,False,27026
"Department of Forest Botany, Dendrology and Geobiocoenology, Faculty of Forestry and Wood Technology, Mendel University in Brno, Zemědělská 3, 613 00 Brno, Czech Republic",1,False,27027
"Department of Ecology & Environmental Sciences, Faculty of Science, Palacký University Olomouc, Šlechtitelů 27, CZ-783 71 Olomouc, Czech Republic",1,False,27028
"Department of Forest Protection and Wildlife Management, Faculty of Forestry and Wood Technology, Mendel University in Brno, Zemědělská 3, 613 00 Brno, Czech Republic",1,False,27029
US Army Corps of Engineers,1,False,13502
The University of Georgia,1,False,26951
University of Hamburg,1,False,26973
Desert Research Institute,2,False,16138
Pacific Northwest Research Station,3,True,527
Mississippi Water Science Center,2,True,394
Itoh Research of Applied Plant Studies,1,False,27146
UC Santa Cruz,4,False,6948
"University of California, Santa Cruz; Monterey Bay Aquarium; USGS-WERC",1,False,26972
Various,1,False,26970
Kansas State University,2,False,12661
"U.S. Fish and Wildlife Service, Big Oaks National Wildlife Refuge",2,False,25400
"Royal Holloway, University of London",1,False,27154
University of California Santa Cruz,1,False,27155
AWI,1,False,25654
Moscow State University,3,False,16615
Sheffield,1,False,27573
Universidad de Cuenca,1,False,25623
"Regional Center for Mapping of Resources for Development (RCMRD), Nairobi, Kenya",1,False,24791
"Riverside Technology Incorporated, Fort Collins, Colorado",1,False,24792
"Centro de Investigaciones Biologicas del Roroeste, La Paz, Mexico",1,False,25409
"Herpetology Dep't, San Diego Natural History Museum, San Diego, CA",1,False,25410
"Conservacion de Fauna del Roroeste, Ensenada, Baja California, Mexico",1,False,25411
"Laboratorio de Vertebrados, Facultad de Ciencias, Ensenada, Baja California",1,False,25412
"Centro de Investigaciones Biologicas del Noroeste, La Paz, Mexico",1,False,25413
Naval Research Laboratory,1,False,16692
Virginia Cooperative Fish and Wildlife Research Unit,2,True,613
"Virginia Department of Conservation and Recreation, Natural Heritage Program",3,False,6970
"Department of Fisheries and Wildlife, Oregon State University",1,False,13016
Hawai‘i Institute of Marine Biology,1,False,13394
"Hawai‘i Institute of Marine Biology, Kāne‘ohe, HI, USA,Marine Biology Graduate Program, University of Hawai‘i, Honolulu, HI, USA",1,False,27531
Biologist,1,False,27512
Arthur Rylah Institute for Environmental Research,1,False,27292
NT Department of Land Resource Management,1,False,27293
Taronga Conservation Society Australia,1,False,27294
"University of Wollongong, Australia",2,False,16754
LSU,3,False,16154
UCF,2,False,24567
"Marine Weather and Climate, Baton Rouge, LA",1,False,25478
Ohio Environmental Protection Agency,4,False,17898
Kent State University,1,False,18142
"Projet de Renforcement Institutionnel du Sector Minier (PRISM II) -  Ministere du Petrole, de l’Energie et des Mines de Mauritanie",1,False,17816
"Ministere du Petrole, de l’Energie et des Mines de Mauritanie",1,False,17817
"University of Wisconsin - Madison, School of Veterinary Medicine, Department of 4 Pathobiological Sciences",1,False,25647
"Natural Environment Research Council, UK",2,False,6919
Institut National des Sciences et Technologies de la Mer,1,False,27225
Penn State University Altoona,3,False,12754
Purdue University College of Veterinary Medicine,1,False,16873
Woods Hole Research Center,3,False,16705
"Yale School of Forestry and Environmental Studies, New Haven, CT",3,False,17883
National Audubon Society,1,False,27800
Univ. of Michigan,3,False,25267
"University of St Andrews, UK",3,False,25268
"Department of Earth and Planetary Sciences, University of California Santa Cruz, 1156 High St., Santa Cruz, CA 95064, United States",1,False,27170
"GEOMAR Helmholtz Centre for Ocean Research Kiel, Wischhofstr. 1–3, 24148 Kiel, Germany",1,False,27171
USFWS retired,1,False,25568
"CH2MHILL, Austin, TX",2,False,18062
"Dept. of Biology, Virginia Commonwealth University, Richmond, VA",1,False,25575
Louisiana Coastal Protection and Restoration Authority,2,False,13608
"Department of Biology, University of Kaiserslautern, Kaiserlautern, Germany",3,False,27000
"Key Laboratory of Biogeography and Bioresource in Arid Land, Xinjiang Institute of Ecology and Geography, Chinese Academy of Sciences, Urumqi 830011, China",2,False,27200
"Department of Agronomy, University of Almeria, 04120 Almeria, Spain",1,False,27406
"Centre for Ecosystem Science, School of Biological, Earth and Environmental Sciences,  University of New South Wales, Sydney, NSW 2052, Australia",1,False,27407
"URCA, GEGENAA EA 3795, 51100 Reims – France / UMR 242 IEES-Paris, IRD representation au Niger BP11416 Niamey, Niger",1,False,27408
"Departamento de Biologıa Vegetal II, Facultad de Farmacia, Universidad Complutense, Madrid, Spain",1,False,27404
"Plant Ecology and Systematics, Biology, University of Kaiserslautern, Kaiserlautern, Germany",1,False,27405
"SIRS - Systèmes d'Information à Référence Spatiale, Villeneuve d'Ascq, France 59650",1,False,27401
"Department of Biology, John Carroll University, University Heights, Ohio 4118",1,False,27402
"Universidad Nacional Autónoma de México, Tlalnepantla, Mexico 54090",1,False,27403
"Hawkesbury Institute for the Environment, Penrith Australia 2751",1,False,24505
"University of North Dakota, Grand Forks, ND USA 58202-9019",1,False,24506
"University of New Mexico, Albuquerque, NM USA 87131",1,False,24507
"USDA-ARS, University of Missouri, Columbia campus, Columbia, MO USA 65211",1,False,24508
"Complutense University of Madrid, Madrid Spain",1,False,24509
"1University of Louisiana at Lafayette, Coastal Plant Ecology Laboratory, Department of Biology,",1,False,25531
